rank	word	part_of_speech	hanja	explanation	nikl_level	topik_level
25684	결석하다	동사	缺席-			C
4113	결승01	명사	決勝	결승 경기	중급	C
4763	결심01	명사	決心	을 하다	초급	C
3623	결심하다01	동사	決心-			B
1092	결정01	명사	決定	을 내리다	초급	B
1986	결정되다01	동사	決定-			B
1033	결정하다01	동사	決定-			B
	결제01	명사		카드 결제	중급	
752	결코	부사	決-	결코 울지 않다	중급	C
	결합	명사		을 이루다	중급	
601	결혼	명사	結婚	을 하다	초급	A
3389	결혼식	명사	結婚式	을 올리다	초급	A
	결혼식장	명사		야외 결혼식장	중급	
1130	결혼하다	동사	結婚-			A
	겸손	명사		겸손의 말	중급	
	겹치다01	동사		행운이	중급	
2461	경계04	명사	境界	를 짓다	중급	C
2702	경고04	명사	警告	를 주다	중급	C
5712	경고하다02	동사	警告-			C
2543	경기05	명사	景氣	가 회복되다	중급	C
739	경기11	명사	競技	를 보다	초급	B
	경기도	고유 명사	京畿道			B
3624	경기장	명사	競技場	실내 경기장	중급	B
3672	경력02	명사	經歷	을 쌓다	중급	C
	경복궁	고유 명사	景福宮			A
	경복궁	명사		고궁	중급	
4968	경비02	명사	經費	여행 경비	중급	C
	경비실	명사		아파트 경비실	중급	
	경상도	고유 명사	慶尙道			B
1034	경영02	명사	經營	회사 경영	중급	B
6746	경영하다01	동사	經營-			C
	경우02	명사		그런 경우	중급	
65	경우03	명사	境遇			B
762	경쟁	명사	競爭	경쟁 상대	중급	C
2264	경쟁력	명사	競爭力	을 키우다	중급	C
200	경제04	명사	經濟	경제 개발	중급	B
4969	경제력	명사	經濟力	이 있다	중급	C
	경제적	관형사		경제적 능력	중급	
2492	경제적	명사	經濟的	경제적 능력	중급	B
5713	경제학	명사	經濟學			C
	경주	고유 명사	慶州			A
632	경찰04	명사	警察	경찰 조사(기관)	초급	A
2329	경찰관	명사	警察官	교통 경찰관	중급	A
3214	경찰서	명사	警察署	에 신고하다	초급	A
5452	경치02	명사	景致	가 좋다	초급	A
1093	경향02	명사	傾向	새로운 경향	중급	C
585	경험	명사	經驗	을 쌓다	초급	B
2170	경험하다	동사	經驗-			B
1586	곁01	명사		에 있다	중급	B
2544	계곡01	명사	溪谷	에 가다	중급	C
	계기04	명사		사건의 계기	중급	
2206	계단04	명사	階段	을 오르다	초급	B
6951	계란	명사	鷄卵	을 먹다	초급	A
1827	계산01	명사	計算	이 정확하다	초급	B
3390	계산기	명사	計算器	로 계산하다	중급	B
	계산대	명사		에서 계산하다	중급	
2916	계산하다	동사	計算-			B
	계속04	명사		계속 달리다	초급	
405	계속04	부사	繼續	계속 달리다	초급	A
1075	계속되다02	동사	繼續-			B
1149	계속하다03	동사	繼續-			B
1163	계시다	동사		한국에	초급	A
1432	계시다	보조 용언				A
2350	계약	명사	契約	을 체결하다	중급	B
	계약금	명사		을 받다	중급	
	계약서	명사		를 쓰다	중급	
2520	계절01	명사	季節	이 바뀌다	초급	A
3138	계좌02	명사	計座	계좌 번호	중급	C
2054	계층	명사	階層	상류 계층	중급	C
400	계획01	명사	計劃	을 세우다	초급	A
4862	계획하다01	동사	計劃-			B
403	고개01	명사		~를 돌리다; 를 들다	초급	B
5857	고개02	명사		~ 너머		C
1717	고객04	명사	顧客	을 맞다	중급	B
3968	고교04	명사	高校			B
	고구려	고유 명사	高句麗			C
7996	고구마	명사		를 캐다	중급	B
	고국02	명사		으로 돌아가다	중급	
11578	고궁01	명사	古宮	을 산책하다	중급	C
1915	고급02	명사	高級	고급 시계	중급	B
8305	고급스럽다	형용사	高級-	자동차가	중급	C
1055	고기01	명사		를 먹다	초급	A
	고대04	명사		고대와 현대	중급	
	고독02	명사		을 느끼다	중급	
	고등02	명사		고등 지식	중급	
	고등어	명사		고등어 구이	중급	
1337	고등학교	명사	高等學校	에 입학하다	초급	A
7445	고등학생	명사	高等學生	이 되다	초급	A
	고래01	명사		가 헤엄치다	중급	
	고려	고유 명사	高麗			C
	고려01	명사		고려 사항	중급	
1490	고려하다01	동사	考慮-			B
1496	고르다01	동사		뽑다; 선물을	초급	B
5175	고르다03	형용사		차이가 없다		B
	고마워하다	동사		부모님에게	중급	
857	고맙다01	형용사		마음이	초급	A
1848	고모01	명사	姑母	친척	초급	B
8668	고모부	명사	姑母夫			B
	고무01	명사		로 만들다	중급	
9911	고무신	명사				C
1748	고민	명사	苦悶	을 나누다	초급	B
3104	고민하다	동사	苦悶-			B
	고백	명사		사랑 고백	중급	
1916	고생	명사	苦生	을 참다	중급	B
3065	고생하다	동사	苦生-			B
8307	고소하다01	형용사		맛이 ~	중급	C
6178	고속02	명사	高速	으로 달리다	중급	B
5176	고속도로	명사	高速道路			B
11580	고속버스	명사	高速	bus; 를 타다	초급	B
1987	고양이	명사		를 기르다	초급	A
	고요01	명사		를 깨트리다	중급	
3851	고요하다	형용사				C
	고유03	명사		고유 음식	중급	
3175	고작02	부사				C
1480	고장01	명사		지역; 우리 고장	중급	B
3625	고장11	명사	故障	이 나다	초급	B
2733	고전02	명사	古典	고전 소설	중급	C
	고정06	명사		고정 수입	중급	
5316	고집02	명사	固執	을 부리다	중급	C
3969	고집하다	동사	固執-			C
2126	고추01	명사		를 따다	중급	B
6014	고추장	명사	-醬	을 넣다	초급	B
9916	고춧가루	명사		를 넣다	중급	B
	고층	명사		고층 빌딩	중급	
1503	고치다01	동사		컴퓨터를	초급	B
986	고통	명사	苦痛	을 견디다	중급	B
3674	고통스럽다	형용사	苦痛-	고통스러운 표정	중급	C
5860	고프다	형용사		배가	초급	A
4181	고함01	명사	高喊			C
593	고향02	명사	故鄕	에 가다	초급	A
3459	곡02	명사	曲	쇼팽의 곡	중급	C
3460	곡식	명사	穀食	을 거두다	중급	C
	곤란	명사		을 당하다	중급	
3675	곤란하다	형용사	困難-			C
307	곧01	부사		곧 가다	초급	A
6180	곧다01	형용사		다리가	중급	C
3215	곧바로	부사		곧바로 처리하다	중급	B
9044	곧이어	부사		곧이어 시작하다	중급	C
3970	곧잘	부사		곧잘 하다	중급	C
4767	곧장	부사		곧장 가다	중급	C
1083	골14	명사		을 넣다(축구); goal	중급	C
4258	골고루	부사		골고루 먹다	중급	C
	골다01	동사		코를	중급	
2821	골목01	명사		좁은 골목	중급	B
7448	골목길	명사		을 걷다	중급	B
3971	골짜기01	명사				C
6181	골치01	명사				C
5717	골프	명사		golf; 골프 선수	중급	B
6015	골프장	명사	場	golf		B
4671	곰03	명사		동물	중급	B
1326	곱다02	형용사		아름답다; 꽃이	중급	B
	곱하다	동사		7에 3을 곱하다	중급	
116	곳01	명사		어느 곳	초급	A
2589	곳곳	명사		전국 곳곳	중급	B
988	공01	명사		축구~; 을 굴리다	초급	A
	공12	명사		숫자	중급	
623	공간05	명사	空間	을 차지하다	중급	B
	공감	명사		을 얻다	중급	
1338	공개02	명사	公開	공개 강좌	중급	C
2703	공개하다	동사	公開-			C
1988	공격02	명사	攻擊	을 받다	중급	C
4182	공격하다	동사	攻擊-			C
4114	공공02	명사	公共	공공 기관	중급	C
	공공요금	명사		이 인상되다	중급	
	공공장소	명사		를 이용하다	중급	
	공과금	명사		을 내다	중급	
4043	공군02	명사	空軍			C
1772	공급02	명사	供給	을 받다	중급	C
1433	공기06	명사	空氣	를 마시다	중급	B
9047	공기07	명사	空器	에 밥을 담다	중급	C
953	공동02	명사	共同	공동 개최	중급	B
	공동체	명사		에 속하다	중급	
1865	공무원	명사	公務員	으로 일하다	초급	B
490	공부01	명사	工夫	를 하다	초급	A
807	공부하다	동사	工夫-			A
1374	공사02	명사	工事	신축 공사	중급	B
	공손하다	형용사		공손한 태도	중급	
2462	공식01	명사	公式	공식 발표	중급	C
4325	공식적	명사	公式的			C
1084	공업01	명사	工業	이 발달하다	중급	C
1067	공연02	명사	公演	을 보다	중급	B
9462	공연되다	동사	公演-			C
4864	공연장	명사	公演場	야외 공연장	중급	C
10400	공연하다02	동사	公演-			C
6017	공연히02	부사	空然-			C
2950	공원03	명사	公園	에서 놀다	초급	A
685	공장02	명사	工場	에서 일하다	초급	B
	공적01	관형사		공적 제도	중급	
	공적01	명사		공적 제도	중급	
8313	공주01	명사	公主	왕자	중급	C
3676	공중03	명사	空中			C
8672	공중전화	명사	公衆電話	공중전화 박스	중급	A
	공지04	명사		를 돌리다	중급	
6540	공짜	명사	空-	로 주다	초급	B
5179	공책01	명사	空冊	에 쓰다	초급	A
8673	공통	명사	共通	공통 화제	중급	C
6541	공통되다	동사	共通-			C
6362	공통적	명사	共通的			C
7696	공통점	명사	共通點	을 찾다	중급	C
2152	공포08	명사	恐怖	를 느끼다	중급	C
2433	공항02	명사	空港	공항 터미널	초급	A
20070	공항버스	명사	空港	bus		B
3677	공해01	명사	公害	가 심각하다	중급	C
9466	공휴일	명사	公休日	로 정하다	초급	A
3105	과04	명사	科			C
996	과10	명사	課	과의 직원	중급	A
8674	과거02	명사	科擧			C
549	과거03	명사	過去	를 잊다	초급	B
	과로01	명사		로 쓰러지다	중급	
2704	과목02	명사	科目	암기 과목	중급	B
	과소비	명사		를 줄이다	중급	
	과속	명사		과속 운전	중급	
	과식01	명사		으로 배탈이 나다	중급	
865	과연01	부사	果然	과연 대단하다	중급	C
7701	과외	명사	課外	과외 업무	중급	C
1491	과일01	명사		을 깎다	초급	A
4402	과자02	명사	菓子	를 먹다	초급	A
	과장06	명사		이 심하다	중급	
2351	과장07	명사	課長	으로 승진하다	중급	B
188	과정03	명사	過程	을 겪다	중급	C
6018	과정04	명사	課程			C
1259	과제04	명사	課題	를 해결하다	중급	B
346	과학	명사	科學	을 연구하다	중급	B
1718	과학자	명사	科學者	가 되다	중급	B
	과학적	관형사		과학적 방법	중급	
2734	과학적	명사	科學的	과학적 방법	중급	B
	-관19	접사		도서관	중급	
	-관20	접사		가치관	중급	
1814	관객	명사	觀客	이 모여들다	중급	B
152	관계05	명사	關係	를 맺다	초급	B
3791	관계되다	동사	關係-			C
	관계없다	형용사		전혀 관계없다	중급	
5077	관계없이	부사	關係-	시간에 관계없이	중급	C
	관계있다	형용사		밀접하게 관계있다	중급	
967	관계자	명사	關係者	를 만나다	중급	C
1719	관광02	명사	觀光	국내 관광	초급	B
3730	관광객	명사	觀光客	외국인 관광객	초급	B
20077	관광버스	명사	觀光	bus		C
7182	관광지	명사	觀光地	국내 관광지	초급	B
2189	관념02	명사	觀念			C
9923	관람	명사	觀覽	연극	중급	C
7453	관람객	명사	觀覽客	영화 관람객	중급	C
420	관련	명사	關聯	이 있다	중급	B
1288	관련되다	동사	關聯-			B
1481	관련하다	동사	關聯-			B
2646	관리01	명사	官吏			C
858	관리04	명사	管理	학생 관리	중급	B
3909	관리하다	동사	管理-			C
3566	관습	명사	慣習			C
312	관심01	명사	關心	을 가지다	초급	B
5720	관심사	명사	關心事	가 다르다	중급	C
839	관점02	명사	觀點	이 다르다	중급	C
3216	관찰01	명사	觀察	식물 관찰	중급	C
2070	관찰하다	동사	觀察-			B
301	관하다02	동사	關-			B
3567	광경	명사	光景	을 보다	중급	C
316	광고02	명사	廣告	신문 광고	초급	B
3392	광장02	명사	廣場			C
	광주	고유 명사	光州			B
	광주01	명사		지명	초급	
813	괜찮다	형용사		성격이	초급	A
2071	괜히	부사		괜히 이야기하다	중급	B
3910	괴로움	명사		을 당하다	중급	C
9474	괴로워하다	동사		통증으로	초급	C
3516	괴롭다	형용사		마음이	중급	B
4489	괴롭히다	동사		동생을	중급	C
9052	굉장하다	형용사	宏壯-	공연이	중급	C
2190	굉장히	부사	宏壯-	굉장히 좋아하다	중급	B
2887	교과서	명사	敎科書	에서 배우다	초급	A
7703	교내01	명사	校內	교내 방송	중급	C
5582	교대01	명사	交代	교대 근무	중급	C
2402	교류01	명사	交流	문화 교류	중급	B
6961	교문01	명사	校門			B
7185	교복01	명사	校服	을 입다	중급	C
474	교사09	명사	敎師	수학 교사	초급	C
371	교수06	명사	敎授	대학 교수	초급	A
9475	교시03	의존명사	校時	1교시	중급	C
1339	교실	명사	敎室	에 들어가다	초급	A
4115	교양02	명사	敎養	을 쌓다	중급	C
9930	교외01	명사	郊外	로 나가다	중급	C
198	교육	명사	敎育	을 받다	초급	B
9931	교육비	명사	敎育費	로 지출하다	중급	C
6363	교육자	명사	敎育者	를 배출하다	중급	C
1103	교장03	명사	校長	초등학교 교장	중급	C
6364	교재01	명사	敎材	학습 교재	중급	C
4769	교직04	명사	敎職			C
4403	교체01	명사	交替	건전지 교체	중급	C
1249	교통01	명사	交通	교통 수단	초급	A
	교통비	명사		가 들다	초급	
3517	교통사고	명사	交通事故	가 나다	초급	B
	교통수단	명사		을 이용하다	중급	
	교통편	명사		을 예약하다	중급	
7186	교포02	명사	僑胞	재일 교포	중급	B
3107	교환01	명사	交換	을 하다	초급	B
4582	교환하다01	동사	交換-			C
1708	교회02	명사	敎會	기독교	초급	A
3973	교훈02	명사	敎訓	을 얻다	중급	C
	구01	관형사		숫자	초급	
10999	구01	수사	九	숫자	초급	A
7705	구15	명사	區	행정 구역	중급	C
2705	구경01	명사		을 다니다	초급	A
	구경거리	명사		가 많다	중급	
3176	구경하다	동사				B
3217	구두01	명사		를 신다	초급	A
3974	구르다01	동사		바위가 ~; 공이	중급	C
2493	구름01	명사		이 끼다	초급	A
	구매02	명사		상품 구매	중급	
2055	구멍	명사		을 뚫다	중급	B
4490	구별02	명사	區別	남녀 구별	중급	C
5722	구별되다	동사	區別-			C
3731	구별하다	동사	區別-			C
	구부리다01	동사		허리를	중급	
2590	구분06	명사	區分	을 짓다	중급	C
5181	구분되다	동사	區分-			C
2735	구분하다03	동사	區分-			C
2494	구석01	명사		한쪽 구석	중급	C
4259	구석구석	명사				C
853	구성07	명사	構成	구성 인원	중급	C
1397	구성되다	동사	構成-			C
1684	구성하다	동사	構成-			C
	구세대	명사		신세대	중급	
1351	구속02	명사	拘束	이 심하다	중급	C
3346	구속되다	동사	拘束-			C
4770	구속하다01	동사	拘束-			C
